,RandomForest,XGBoost,Lasso,Avg_Importance
954,0.3772621092244107,0.24996981,0.041709800540780405,0.22298057333753749
1018,0.23852384166884386,0.19553441,0.23443689681640717,0.2228317155259166
1019,0.2816966577542505,0.13185304,0.2548078307507123,0.22278584417933778
1065,0.32239536062758384,0.17222475,0.171852802352804,0.2221576360449229
874,0.10747957981941202,0.55747527,0.0,0.22165161622006727
488,0.27089104774711653,0.12494822,0.2627490058465069,0.2195294240194916
1130,0.34898148292089665,0.30754918,0.0,0.21884355384040263
844,0.1883936684703577,0.20699888,0.259950915315681,0.21844782282130856
825,0.17961617629728058,0.4721687,0.0,0.21726163003511342
1137,0.3528594703369318,0.19221032,0.10044289778908042,0.21517089492801078
223,0.194584426649488,0.12257832,0.3243089316323338,0.21382389372308083
607,0.14355539135816706,0.49481103,0.0,0.2127888065334261
188,0.29277888963770243,0.34558648,0.0,0.21278845611595898
1146,0.19047094192797762,0.14493869,0.29776854670473873,0.21105939369441326
686,0.2111383951082626,0.12029308,0.3017238554394867,0.2110517771181605
898,0.23438244795328722,0.3979029,0.0,0.21076178463143225
44,0.26318340605494683,0.3616536,0.0,0.20827900073924763
948,0.2863833098310155,0.2671445,0.07115801956001969,0.20822861020009809
1115,0.19917331819759293,0.42512986,0.0,0.20810105961238837
1145,0.1903086684661183,0.16589475,0.2679593844213461,0.20805426655595327
1123,0.19797482687257148,0.2157616,0.20930673730245308,0.20768105536664028
1083,0.3096096921920792,0.20865822,0.10279504362023346,0.20702098473203392
298,0.2157242379262781,0.4044251,0.0,0.20671645077317077
1116,0.22774743285824373,0.1956279,0.19479091551961722,0.20605541545189665
1124,0.2626728085942096,0.35542324,0.0,0.20603201681597452
579,0.16434359847743293,0.18439235,0.2678018418182902,0.2055125960758617
595,0.22503800886247977,0.23145713,0.1584757613655641,0.20499029978295688
660,0.263673395885032,0.12204502,0.22849836880572824,0.2047389274898779
66,0.28919225752621636,0.17447288,0.15046492845292544,0.2047100231076128
524,0.14246197445822867,0.18889426,0.2803432312433978,0.20389982088368375
5,0.4379225913616672,0.17271116,0.0,0.2035445850402996
907,0.2002361576426851,0.4083726,0.0,0.20286958948336797
1127,0.3444677736832347,0.13381433,0.12935818715748826,0.20254676523670256
226,0.1773675840020835,0.32000637,0.10623639886857926,0.20120345113836546
1125,0.32956157472333225,0.1724819,0.10146650555812949,0.2011699915915216
1010,0.29159376381513136,0.15767528,0.1541023657137027,0.20112380356528814
1105,0.2746248282662253,0.32874125,0.0,0.20112202689618605
1104,0.22650371678820144,0.3767353,0.0,0.20107967220462328
971,0.2792316712399309,0.32270914,0.0,0.20064693813390155
4,0.46344689428520747,0.13689595,0.0,0.20011428296470823
1106,0.30808050129066755,0.29191273,0.0,0.199997745266394
849,0.14721624030944877,0.15287374,0.29971913290119795,0.19993637093694275
1002,0.20515867342342223,0.12011656,0.269862060281649,0.19837909845210033
434,0.3407793228324027,0.13607372,0.1173480221029045,0.19806702279023636
429,0.1894827192098864,0.14364386,0.2610213844401664,0.19804931989954558
786,0.25646868479967927,0.14255251,0.19364806810456775,0.1975564209360516
1068,0.2940851092354815,0.2971222,0.0,0.1970691064998958
487,0.28408441424700787,0.30445555,0.0,0.19617998759062147
8,0.45275135231633096,0.13533586,0.0,0.1960290716509657
713,0.27521186071632936,0.19498628,0.11675600355380619,0.19565138268309326
11,0.436934080142565,0.14849272,0.0,0.19514226794864978
650,0.17991546936869818,0.13306205,0.2707788869486723,0.19458546868796125
1131,0.3287792317106421,0.25213522,0.0,0.193638149633477
1118,0.23285239822983095,0.20107067,0.14500494779351245,0.1929760041121716
506,0.16561410227729523,0.2006044,0.21253790364762906,0.19291880000105965
534,0.1653843516723656,0.110427484,0.30154718073171366,0.19245300544012064
492,0.23707699330252247,0.3389558,0.0,0.19201092770232706
919,0.1602608268794922,0.41364124,0.0,0.19130069035084737
1151,0.2445017299379458,0.32732442,0.0,0.19060871671721505
701,0.3190154948826627,0.25210914,0.0,0.19037487834678743
858,0.194414837558038,0.10668131,0.26905771544448737,0.19005128754764433
677,0.14520152505726983,0.14712803,0.2761984437793947,0.18950933316481092
596,0.24157201606910203,0.22549184,0.10026274596921912,0.18910886623512735
1099,0.21500221872236483,0.35110202,0.0,0.18870141434638418
191,0.168904744363827,0.21321258,0.18156962019667075,0.18789564801641734
