,channel,feature_type,channel_feature_name,RF_Importance,XGB_Importance,Lasso_Coefficient
114,12,alpha_power,Channel_12_alpha_power,0.0006611367645713802,0.0009567043,0.0
115,12,beta_power,Channel_12_beta_power,0.0006662687741698575,0.000978914,0.0
116,12,gamma_power,Channel_12_gamma_power,0.000735976520494706,0.00090513384,0.0
117,13,mean,Channel_13_mean,0.0008565799806461226,0.00088831625,0.0
118,13,std,Channel_13_std,0.000674871660858609,0.0006761594,0.0
119,13,skewness,Channel_13_skewness,0.0009482426969149949,0.00060018833,0.004951466399137834
120,13,kurtosis,Channel_13_kurtosis,0.0012048142718735705,0.001016887,0.0003187499941450135
121,13,delta_power,Channel_13_delta_power,0.0006550448841230548,0.00058316364,0.0
122,13,theta_power,Channel_13_theta_power,0.0007401842559333279,0.00089535676,0.0
123,13,alpha_power,Channel_13_alpha_power,0.0007194545437746292,0.000886673,0.0
124,13,beta_power,Channel_13_beta_power,0.000931184095623467,0.000803092,0.0
125,13,gamma_power,Channel_13_gamma_power,0.0013711141580663457,0.00090812094,0.0
126,14,mean,Channel_14_mean,0.0006450424511522696,0.00056731934,0.0
127,14,std,Channel_14_std,0.0005619548176134475,0.0008187846,0.0
128,14,skewness,Channel_14_skewness,0.000729293738196575,0.0010002082,0.0
129,14,kurtosis,Channel_14_kurtosis,0.0007394725658287731,0.0010939776,0.0
130,14,delta_power,Channel_14_delta_power,0.0004972934248051992,0.0007146949,0.0
131,14,theta_power,Channel_14_theta_power,0.0006656054092433216,0.00087332196,0.0
132,14,alpha_power,Channel_14_alpha_power,0.00046860845307319254,0.0006270516,0.0
133,14,beta_power,Channel_14_beta_power,0.000823221866850852,0.0003938414,0.0
134,14,gamma_power,Channel_14_gamma_power,0.0008803839678215346,0.0008662354,0.0
135,15,mean,Channel_15_mean,0.0007576682909191742,0.000885981,0.0
136,15,std,Channel_15_std,0.0005026282567040353,0.00063227676,0.0
137,15,skewness,Channel_15_skewness,0.0008868884779362891,0.0008844785,0.0
138,15,kurtosis,Channel_15_kurtosis,0.0006417638633158154,0.00052285416,0.0
139,15,delta_power,Channel_15_delta_power,0.0004229827731114209,0.0005435049,0.0
140,15,theta_power,Channel_15_theta_power,0.0005048523191083184,0.001493597,0.0
141,15,alpha_power,Channel_15_alpha_power,0.00048227772132304316,0.00056931993,0.0
142,15,beta_power,Channel_15_beta_power,0.0006486375244209182,0.0011553591,0.0
143,15,gamma_power,Channel_15_gamma_power,0.0006772458641070567,0.0008134318,0.0
144,16,mean,Channel_16_mean,0.0012751930391055393,0.0006869005,0.00021391840345364645
145,16,std,Channel_16_std,0.001449111787200854,0.00087093597,0.013714239805150956
146,16,skewness,Channel_16_skewness,0.0012860963029408161,0.001152593,0.01116912755803434
147,16,kurtosis,Channel_16_kurtosis,0.0012201202980183891,0.0006773892,0.0
